Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	OUTLIERRG	MTP	Tm1	Tm2	Tm3	Tm4
26	C2	FALSE	Day4	GAPDH	UNKNOWN	SYBR	None	23.383	22.259	1.385								TRUE	0.346	TRUE	3	18	Amp		0.990	Y	N	N	85.151			
27	C3	FALSE	Day4	GAPDH	UNKNOWN	SYBR	None	22.681	22.259	1.385								TRUE	0.346	TRUE	3	16	Amp		0.983	Y	N	N	85.430			
28	C4	FALSE	Day4	YTHDF1	UNKNOWN	SYBR	None	24.710	25.512	0.700								TRUE	0.392	TRUE	3	19	Amp		0.988	Y	N	N	80.733			
29	C5	FALSE	Day4	YTHDF1	UNKNOWN	SYBR	None	26.000	25.512	0.700								TRUE	0.392	TRUE	3	20	Amp		0.988	Y	N	N	80.438			
30	C6	FALSE	Day4	YTHDF1	UNKNOWN	SYBR	None	25.826	25.512	0.700								TRUE	0.392	TRUE	3	20	Amp		0.995	Y	N	N	80.438			
31	C7	FALSE	Day4	YTHDF2	UNKNOWN	SYBR	None	25.154	25.215	0.079								TRUE	0.390	TRUE	3	19	Amp		0.985	N	N	N	82.078			
32	C8	FALSE	Day4	YTHDF2	UNKNOWN	SYBR	None	25.304	25.215	0.079								TRUE	0.390	TRUE	3	19	Amp		0.986	N	N	N	82.240			
33	C9	FALSE	Day4	YTHDF2	UNKNOWN	SYBR	None	25.188	25.215	0.079								TRUE	0.390	TRUE	3	19	Amp		0.988	N	N	N	82.236			
34	C10	FALSE	Day4	YTHDF3	UNKNOWN	SYBR	None	24.909	24.937	0.027								TRUE	0.440	TRUE	3	17	Amp		0.992	N	N	N	80.613			
35	C11	FALSE	Day4	YTHDF3	UNKNOWN	SYBR	None	24.940	24.937	0.027								TRUE	0.440	TRUE	3	17	Amp		0.990	N	N	N	80.609			
36	C12	FALSE	Day4	YTHDF3	UNKNOWN	SYBR	None	24.963	24.937	0.027								TRUE	0.440	TRUE	3	18	Amp		0.963	N	N	N	80.771			
37	D1	FALSE	Day6	GAPDH	UNKNOWN	SYBR	None	19.972	21.553	1.393								TRUE	0.346	TRUE	3	14	Amp		0.975	Y	N	N	85.151			
38	D2	FALSE	Day6	GAPDH	UNKNOWN	SYBR	None	22.599	21.553	1.393								TRUE	0.346	TRUE	3	16	Amp		0.986	Y	N	N	85.151			
39	D3	FALSE	Day6	GAPDH	UNKNOWN	SYBR	None	22.090	21.553	1.393								TRUE	0.346	TRUE	3	16	Amp		0.985	Y	N	N	85.268			
40	D4	FALSE	Day6	YTHDF1	UNKNOWN	SYBR	None	23.732	24.577	0.744								TRUE	0.392	TRUE	3	17	Amp		0.991	Y	N	N	80.571			
